batter,pitcher,events,zone,p_throws,type,balls,strikes,outs_when_up,inning,launch_speed,launch_angle,woba_value,pitch_number,pitch_name
547180,664849,single,11,L,X,1,2,0,8,65.1,24,0.9,5,Slider
547180,650895,single,5,R,X,1,2,1,7,107.3,17,0.9,4,Slider
547180,605135,strikeout,1,R,S,3,2,0,6,,,0,6,Curveball
547180,453286,field_out,4,R,X,0,0,0,5,92.4,46,0,1,Changeup
547180,605135,strikeout,14,R,S,2,2,0,3,,,0,5,Curveball
547180,453286,single,12,R,X,2,1,2,3,77.4,17,0.9,4,4-Seam Fastball
547180,570257,strikeout,12,L,S,2,2,2,7,,,0,7,Changeup
547180,453286,home_run,5,R,X,2,0,2,1,108.6,26,2,3,4-Seam Fastball
547180,605135,field_out,12,R,X,1,0,1,1,78.5,78,0,2,Cutter
547180,622098,field_out,8,R,X,0,0,1,8,102.6,3,0,1,Curveball
547180,592836,home_run,9,R,X,1,0,1,4,111.5,35,2,2,Cutter
547180,592836,field_out,9,R,X,0,1,0,2,90.5,55,0,2,Cutter
547180,658431,field_out,13,R,X,0,2,2,8,58.6,-47,0,3,Changeup
547180,592741,strikeout,11,L,S,0,2,0,6,,,0,3,4-Seam Fastball
547180,592836,double,1,R,X,2,0,0,1,95.5,14,1.25,3,4-Seam Fastball
547180,527048,field_out,14,L,X,0,0,2,6,90.4,48,0,1,Sinker
547180,527048,field_out,14,L,X,1,0,1,4,96.2,-14,0,2,Sinker
547180,519043,field_out,5,L,X,1,2,2,8,107,6,0,4,Knuckle Curve
547180,592351,strikeout,2,R,S,3,2,0,3,,,0,7,4-Seam Fastball
547180,667463,strikeout,4,L,S,0,2,2,7,,,0,3,Sinker
547180,656271,field_out,6,L,X,0,0,1,5,100.9,-26,0,1,4-Seam Fastball
547180,592351,field_out,6,R,X,3,2,1,1,100.7,53,0,6,4-Seam Fastball
